62
1908 326  0 
1947 342  1 
1991 511  2 
2289 413  3 
2041 621  4 
2203 565  5 
1806 1138 6 
2068 1086 7 
2075 1131 8 
2225 1069 9 
2247 1183 10
2246 1341 11
2310 1327 12
2243 1424 13
2551 1183 14
2553 1257 15
2575 1258 16
2544 1331 17
2529 1425 18
2550 1577 19
2681 1579 20
2660 1676 21
2709 1635 22
2650 1692 23
2688 1692 24
2293 1817 25
2563 1820 26
2653 1812 27
2309 1902 28
2557 1974 29
2487 2010 30
2482 2065 31
2481 2148 32
2808 2062 33
2809 2107 34
1730 1155 35
1721 1447 36
1698 2114 37
1348 1142 38
1684 1151 39
1341 1187 40
1337 1270 41
1390 1269 42
1330 1366 43
1555 1360 44
1680 1357 45
1329 1403 46
1551 1411 47
1324 1459 48
1253 1627 49
1315 1628 50
1251 1663 51
1314 1664 52
1535 1675 53
1238 1784 54
810  1169 55
802  1349 56
662  1599 57
774  1606 58
756  1768 59
730  1965 60
716  2061 61
72
0 1
1 2
2 3
2 4
4 5
4 9
6 8
7 8
8 9
9 10
10 14
10 11
11 12
14 15
15 17
12 17
11 13
17 18
13 25
18 19
19 20
20 21
20 22
21 24
22 24
23 24
15 16
23 27
25 26
26 27
25 28
26 29
28 30
29 30
30 31
31 33
31 32
33 34
13 18
6 35
35 36
36 37
35 39
38 39
38 40
40 41
41 42
41 43
43 46
46 47
44 47
44 45
39 45
46 48
48 50
47 53
49 50
49 51
50 52
51 52
52 53
51 54
40 55
55 56
43 56
56 58
49 58
57 58
54 59
59 60
60 61
58 59
